;periodo;codtec;Velocidad descarga promedio
0;2018-T1;Cable;7.838425075999533
1;2018-T1;Fibra Óptica;13.419592996440082
2;2018-T1;Inalambrico;4.702175257905808
3;2018-T1;Otras;7.355557628247834
4;2018-T1;Satelital;2.512501514044064
5;2018-T1;xDSL;4.610603877559666
6;2018-T2;Cable;9.25934005725122
7;2018-T2;Fibra Óptica;13.943633633741792
8;2018-T2;Inalambrico;5.032634380802686
9;2018-T2;Otras;3.834357068062827
10;2018-T2;Satelital;3.4691352957826207
11;2018-T2;xDSL;4.839467270122532
12;2018-T3;Cable;10.09865450242718
13;2018-T3;Fibra Óptica;15.021506696617678
14;2018-T3;Inalambrico;4.461958368378332
15;2018-T3;Otras;7.053076271186441
16;2018-T3;Satelital;4.486676584953508
17;2018-T3;xDSL;4.830376377162351
18;2018-T4;Cable;10.841159282762073
19;2018-T4;Fibra Óptica;15.775851970836646
20;2018-T4;Inalambrico;4.498655984881394
21;2018-T4;Otras;11.509752347826089
22;2018-T4;Satelital;7.237130453657478
23;2018-T4;xDSL;4.8767178550203285
24;2019-T1;Cable;11.738625402480942
25;2019-T1;Fibra Óptica;17.282761637972197
26;2019-T1;Inalambrico;4.846651468644755
27;2019-T1;Otras;4.188004449388209
28;2019-T1;Satelital;10.302406538692264
29;2019-T1;xDSL;4.806307537200431
30;2019-T2;Cable;12.51555633987457
31;2019-T2;Fibra Óptica;20.092904956204123
32;2019-T2;Inalambrico;4.592536964834157
33;2019-T2;Otras;3.657636523266023
34;2019-T2;Satelital;16.16756541059367
35;2019-T2;xDSL;4.920348274016096
36;2019-T3;Cable;13.24971870114569
37;2019-T3;Fibra Óptica;36.52887157428727
38;2019-T3;Inalambrico;4.523047581376131
39;2019-T3;Otras;4.73812132219397
40;2019-T3;Satelital;18.722728858017195
41;2019-T3;xDSL;5.036416166456803
42;2019-T4;Cable;18.8683156885757
43;2019-T4;Fibra Óptica;45.08793069347172
44;2019-T4;Inalambrico;4.898612133752124
45;2019-T4;Otras;4.070700908455625
46;2019-T4;Satelital;18.964059633689065
47;2019-T4;xDSL;5.030178518185161
48;2020-T1;Cable;24.91767400082012
49;2020-T1;Fibra Óptica;60.62642222744784
50;2020-T1;Inalambrico;5.103150601304355
51;2020-T1;Otras;4.876845033801351
52;2020-T1;Satelital;22.615658568559635
53;2020-T1;xDSL;5.111236754645914
54;2020-T2;Cable;28.951459645598284
55;2020-T2;Fibra Óptica;59.02985333338013
56;2020-T2;Inalambrico;5.721557023943419
57;2020-T2;Otras;4.228653199741435
58;2020-T2;Satelital;22.277178873333188
59;2020-T2;xDSL;5.218767052230581
60;2020-T3;Cable;33.33201437370518
61;2020-T3;Fibra Óptica;57.57398617473415
62;2020-T3;Inalambrico;6.144788429586969
63;2020-T3;Otras;6.125248669363423
64;2020-T3;Satelital;21.630470480954617
65;2020-T3;xDSL;5.331591995545232
66;2020-T4;Cable;36.64581604574362
67;2020-T4;Fibra Óptica;61.64074256086619
68;2020-T4;Inalambrico;7.341632558478789
69;2020-T4;Otras;6.077456165937448
70;2020-T4;Satelital;19.93137481989273
71;2020-T4;xDSL;5.432761703607835
0;2021-T1;Cable;43.72672539202907
1;2021-T1;Fibra Óptica;62.840509286322124
2;2021-T1;Inalambrico;8.979970328879507
3;2021-T1;Otras;7.261626107856391
4;2021-T1;Satelital;23.765955078940774
5;2021-T1;xDSL;5.963366184446235
6;2021-T2;Cable;63.18736367883254
7;2021-T2;Fibra Óptica;74.78424705313685
8;2021-T2;Inalambrico;9.64687253559897
9;2021-T2;Otras;12.550271598461002
10;2021-T2;Satelital;22.856039255344598
11;2021-T2;xDSL;6.067860669975616
12;2021-T3;Cable;73.27908120517297
13;2021-T3;Fibra Óptica;83.61753692767634
14;2021-T3;Inalambrico;10.536400421646038
15;2021-T3;Otras;11.12155819241154
16;2021-T3;Satelital;22.22753954336314
17;2021-T3;xDSL;6.175224581327067
18;2021-T4;Cable;81.54003634291516
19;2021-T4;Fibra Óptica;114.44639385641254
20;2021-T4;Inalambrico;12.325372748591853
21;2021-T4;Otras;7.735367690930787
22;2021-T4;Satelital;20.967326478952774
23;2021-T4;xDSL;6.246544594112618
24;2022-T1;Cable;97.93526013172516
25;2022-T1;Fibra Óptica;134.52088387539115
26;2022-T1;Inalambrico;13.257557356431784
27;2022-T1;Otras;9.813217218819599
28;2022-T1;Satelital;19.252426463639956
29;2022-T1;xDSL;5.182937752923573
30;2022-T2;Cable;119.74394300402903
31;2022-T2;Fibra Óptica;145.8443820425608
32;2022-T2;Inalambrico;15.473075961704671
33;2022-T2;Otras;6.929090631442315
34;2022-T2;Satelital;17.951286351283862
35;2022-T2;xDSL;5.1709717035372975
36;2022-T3;Cable;134.87019478290804
37;2022-T3;Fibra Óptica;156.14202597470072
38;2022-T3;Inalambrico;17.784417014730035
39;2022-T3;Otras;7.45002909151359
40;2022-T3;Satelital;18.545292322836467
41;2022-T3;xDSL;5.124343030688288
42;2022-T4;Cable;143.5238816467022
43;2022-T4;Fibra Óptica;163.2379108887555
44;2022-T4;Inalambrico;14.520375283613445
45;2022-T4;Otras;8.100652003142184
46;2022-T4;Satelital;18.40806267241486
47;2022-T4;xDSL;5.654133827594688
