Operador;TIPO SERVICIO;anno;INGRESOS_BRUTOS;INGRESOS_SERVICIOS_TV;INGRESOS_OTROS_SERVICIOS ;INGRESOS_COMISIONES;INGRESOS_TRANSFERENCIAS;Oper_TV(%);Otros_servicios(%);Transferencias(%);
RTVC;Interés público nacional;2019;234.914.258.904;24.903.994.801;5.115.011.110;0;199.637.461.097;0,1060;0,0218;0,8498;
Teleantioquia;Interés público regional;2019;64.251.535.294;39.073.658.872;0;0;22.369.279.001;0,6081;0,0000;0,3482;
Canal Trece;Interés público regional;2019;146.763.849.448;23.410.748.294;5.664.670.853;0;11.397.332.780;0,1595;0,0386;0,0777;
Tele Islas;Interés público regional;2019;17.331.530.408;2.892.528.781;27.032.700;0;14.351.484.942;0,1669;0,0016;0,8281;
Telemedellín;Local sin ánimo de lucro;2019;27.010.948.979;7.034.234.429;4.966.155.747;1.841.492.501;12.180.000.000;0,2604;0,1839;0,4509;
Telecafé;Interés público regional;2019;34.305.424.223;8.384.887.681;7.467.043.967;0;18.285.085.885;0,2444;0,2177;0,5330;
Canal Capital;Interés público regional;2019;44.693.754.495;4.780.631.634;15.227.693.174;206.419.400;23.630.091.216;0,1070;0,3407;0,5287;
Telecaribe;Interés público regional;2019;27.017.673.175;9.777.438.066;0;0;17.190.057.855;0,3619;0,0000;0,6363;
TRO;Interés público regional;2019;23.870.713.769;10.317.630.887;1.062.448.829;0;12.268.019.076;0,4322;0,0445;0,5139;
Telepacífico;Interés público regional;2019;37.509.387.821;20.212.775.724;0;0;14.134.163.165;0,5389;0,0000;0,3768;
RTVC;Interés público nacional;2020;175.149.589.038;22.268.194.111;8.205.198.408;0;137.401.323.469;0,1271;0,0468;0,7845;
Teleantioquia;Interés público regional;2020;50.606.995.939;28.560.915.778;0;0;18.679.263.291;0,5644;0,0000;0,3691;
Canal Trece;Interés público regional;2020;96.171.719.990;13.051.353.714;6.500.488.566;0;28.008.587.459;0,1357;0,0676;0,2912;
Tele Islas;Interés público regional;2020;14.182.062.732;1.047.506.609;10.677.513;0;13.026.438.679;0,0739;0,0008;0,9185;
Telemedellín;Local sin ánimo de lucro;2020;22.086.360.947;3.923.498.257;4.139.437.865;1.699.631.485;11.596.395.034;0,1776;0,1874;0,5250;
Telecafé;Interés público regional;2020;32.644.840.275;3.319.740.306;12.731.036.963;0;16.196.771.273;0,1017;0,3900;0,4962;
Canal Capital;Interés público regional;2020;32.814.289.660;2.877.785.561;4.351.407.779;426.575.444;24.805.086.762;0,0877;0,1326;0,7559;
Telecaribe;Interés público regional;2020;22.757.567.706;6.021.248.618;0;0;16.706.284.975;0,2646;0,0000;0,7341;
TRO;Interés público regional;2020;22.083.731.033;7.442.313.579;894.572.823;0;13.614.716.037;0,3370;0,0405;0,6165;
Telepacífico;Interés público regional;2020;38.138.641.068;18.576.458.031;0;0;17.543.181.457;0,4871;0,0000;0,4600;
RTVC;Interés público nacional;2021;256.806.979.481;17.878.548.396;9.499.512.002;0;226.845.436.600;0,0696;0,0370;0,8833;
Teleantioquia;Interés público regional;2021;46.129.501.877;28.828.740.887;0;0;15.745.038.084;0,6250;0,0000;0,3413;
Canal Trece;Interés público regional;2021;127.879.438.035;16.070.574.851;2.255.155.393;0;35.474.283.500;0,1257;0,0176;0,2774;
Tele Islas;Interés público regional;2021;21.057.284.782;1.515.628.915;0;0;19.517.342.412;0,0720;0,0000;0,9269;
Telemedellín;Local sin ánimo de lucro;2021;26.460.947.130;4.904.231.555;5.113.195.703;1.488.229.621;14.487.772.000;0,1853;0,1932;0,5475;
Telecafé;Interés público regional;2021;53.928.500.535;11.446.158.801;25.441.902.168;0;16.810.599.545;0,2122;0,4718;0,3117;
Canal Capital;Interés público regional;2021;31.924.512.230;3.164.573.155;3.376.698.184;53.459.442;24.885.473.355;0,0991;0,1058;0,7795;
Telecaribe;Interés público regional;2021;27.167.844.183;8.722.445.478;0;0;18.184.302.365;0,3211;0,0000;0,6693;
TRO;Interés público regional;2021;29.531.410.816;12.997.298.852;4.862.760.544;0;11.649.650.160;0,4401;0,1647;0,3945;
Telepacífico;Interés público regional;2021;35.437.253.764;17.252.705.968;0;0;16.758.956.464;0,4869;0,0000;0,4729;
RTVC;Interés público nacional;2022;270.441.110.243;16.600.686.934;25.042.466.411;0;218.735.687.744;0,0614;0,0926;0,8088;
Teleantioquia;Interés público regional;2022;42.477.052.154;23.829.164.590;0;0;16.102.735.986;0,5610;0,0000;0,3791;
Canal Trece;Interés público regional;2022;156.640.413.693;14.116.644.955;6.632.678.806;0;28.889.835.237;0,0901;0,0423;0,1844;
Tele Islas;Interés público regional;2022;15.388.122.400;2.174.843.626;112.048;0;13.159.522.958;0,1413;0,0000;0,8552;
Telemedellín;Local sin ánimo de lucro;2022;25.466.770.508;4.974.733.797;5.388.822.678;2.322.334.106;12.240.000.000;0,1953;0,2116;0,4806;
Telecafé;Interés público regional;2022;96.112.430.404;35.992.268.634;31.580.406.127;0;18.835.251.647;0,3745;0,3286;0,1960;
Canal Capital;Interés público regional;2022;42.166.925.119;2.320.930.069;7.793.414.189;64.419.889;30.955.881.677;0,0550;0,1848;0,7341;
Telecaribe;Interés público regional;2022;27.738.048.437;12.712.572.874;0;0;14.891.167.175;0,4583;0,0000;0,5368;
TRO;Interés público regional;2022;37.045.822.777;23.602.759.512;558.238.619;0;12.704.750.433;0,6371;0,0151;0,3429;
Telepacífico;Interés público regional;2022;38.592.882.275;20.852.679.591;0;0;13.797.089.059;0,5403;0,0000;0,3575;
