País ;Variable ;Año;Accesos
Colombia;Población;2018;48258494
Colombia;Hogares;2018;15294565
Colombia;Internet fijo;2018;6731125
Colombia;Internet fijo (Fibra Óptica) ;2018;874285
Colombia;Internet móvil;2018;27350534
Colombia;TV por suscripción;2018;5857429
Colombia;Telefonía fija;2018;6957016
Colombia;Telefonía móvil;2018;64825056
Colombia;Población;2019;49395678
Colombia;Hogares;2019;15861618
Colombia;Internet fijo;2019;6981068
Colombia;Internet fijo (Fibra Óptica) ;2019;964495
Colombia;Internet móvil;2019;30876937
Colombia;TV por suscripción;2019;5936543
Colombia;Telefonía fija;2019;6998130
Colombia;Telefonía móvil;2019;66283175
Colombia;Población;2020;50372424
Colombia;Hogares;2020;16405712
Colombia;Internet fijo;2020;7831422
Colombia;Internet fijo (Fibra Óptica) ;2020;1331897
Colombia;Internet móvil;2020;32516679
Colombia;TV por suscripción;2020;6066254
Colombia;Telefonía fija;2020;7228590
Colombia;Telefonía móvil;2020;67672570
Colombia;Población;2021;51049498
Colombia;Hogares;2021;16889969
Colombia;Internet fijo;2021;8429654
Colombia;Internet fijo (Fibra Óptica) ;2021;1864250
Colombia;Internet móvil;2021;37963699
Colombia;TV por suscripción;2021;6172027
Colombia;Telefonía fija;2021;7551892
Colombia;Telefonía móvil;2021;75056111
