id_empresa;empresa  ;anno;ingresos ordinarios
860014923;CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.;2019;1,94793E+11
860079896;COMPANIA DE COMUNICACIONES DE COLOMBIA S.A.S;2019;2871983000
890926345;EMPRESA COLOMBIANA DE RADIO SAS;2019;150843000
890903910;RADIO CADENA NACIONAL SAS;2019;1,61943E+11
800011955;DIGITAL ESTEREO SAS;2019;648627000
860039071;SERVICIO RADIAL INTEGRADO SAS;2019;965398000
860354098;PRODUCCIONES WILLVIN S A;2019;27654117000
890103197;ORGANIZACION RADIAL OLIMPICA S.A.;2019;87262565000
800155224;CHAR DIAZ SAS;2019;0
860038652;VITAL INVERSIONES S.A.;2019;2149675000
900914110;ALIANZA INTEGRAL COM SAS;2019;14263094938
860025674;CARACOL TELEVISIÓN S.A.;2019;41772293000
860014923;CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.;2020;1,31542E+11
860079896;COMPANIA DE COMUNICACIONES DE COLOMBIA S.A.S;2020;2394341000
890926345;EMPRESA COLOMBIANA DE RADIO SAS;2020;130480000
890903910;RADIO CADENA NACIONAL SAS;2020;1,20305E+11
800011955;DIGITAL ESTEREO SAS;2020;561062000
860039071;SERVICIO RADIAL INTEGRADO SAS;2020;835070000
860354098;PRODUCCIONES WILLVIN S A;2020;17569085000
890103197;ORGANIZACION RADIAL OLIMPICA S.A.;2020;68103310000
800155224;CHAR DIAZ SAS;2020;1199157000
860038652;VITAL INVERSIONES S.A.;2020;1429449000
900914110;ALIANZA INTEGRAL COM SAS;2020;10384388494
860014923;CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.;2021;1,76958E+11
860079896;COMPANIA DE COMUNICACIONES DE COLOMBIA S.A.S;2021;3008147000
890926345;EMPRESA COLOMBIANA DE RADIO SAS;2021;93945000
890903910;RADIO CADENA NACIONAL SAS;2021;1,45608E+11
800011955;DIGITAL ESTEREO SAS;2021;403965000
860039071;SERVICIO RADIAL INTEGRADO SAS;2021;601250000
860354098;PRODUCCIONES WILLVIN S A;2021;26016337000
890103197;ORGANIZACION RADIAL OLIMPICA S.A.;2021;91829321000
800155224;CHAR DIAZ SAS;2021;4634831000
860038652;VITAL INVERSIONES S.A.;2021;2408907000
900914110;ALIANZA INTEGRAL COM SAS;2021;0
860025674;CARACOL TELEVISIÓN S.A.;2020;27594800000
860025674;CARACOL TELEVISIÓN S.A.;2021;34848249000
